issue,subject,company,response,product_area,status,request_type,justification
I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,"Thank you for contacting Claude.

Due to the sensitive nature of this request (sensitive_risk), we are escalating this ticket to our specialized support team. They will review your case and respond within 24-48 hours.

For immediate assistance, please contact our priority support line.

Reference: ESC-9792",general,Escalated,general_question,Company:Claude|Type:general_question|Escalated:True
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for contacting HackerRank.

Due to the sensitive nature of this request (critical_risk), we are escalating this ticket to our specialized support team. They will review your case and respond within 24-48 hours.

For immediate assistance, please contact our priority support line.

Reference: ESC-8997",assessments,Escalated,test_issue,Company:HackerRank|Type:test_issue|Escalated:True
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,"For Visa support, contact your card issuer directly or visit visa.co.in/support.html",card_services,Replied,transaction_dispute,Company:Visa|Type:transaction_dispute|Escalated:False
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,None,"I apologize, but this issue is outside my support scope. I can only assist with HackerRank, Claude, and Visa inquiries.",unknown,Replied,out_of_scope,Company:None|Type:out_of_scope|Escalated:False
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,Visa,"For Visa support, contact your card issuer directly or visit visa.co.in/support.html",general,Replied,general_inquiry,Company:Visa|Type:general_inquiry|Escalated:False
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for contacting HackerRank.

Due to the sensitive nature of this request (critical_risk), we are escalating this ticket to our specialized support team. They will review your case and respond within 24-48 hours.

For immediate assistance, please contact our priority support line.

Reference: ESC-0574",general,Escalated,general_support,Company:HackerRank|Type:general_support|Escalated:True
i can not able to see apply tab,"I need to practice, submissions not working",None,"I apologize, but this issue is outside my support scope. I can only assist with HackerRank, Claude, and Visa inquiries.",unknown,Replied,out_of_scope,Company:None|Type:out_of_scope|Escalated:False
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Thank you for contacting HackerRank Support. Please visit support.hackerrank.com for detailed documentation.,assessments,Replied,test_issue,Company:HackerRank|Type:test_issue|Escalated:False
I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,Thank you for contacting HackerRank Support. Please visit support.hackerrank.com for detailed documentation.,assessments,Replied,test_issue,Company:HackerRank|Type:test_issue|Escalated:False
I would like to request a rescheduling of my company assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.,Reschedule request,HackerRank,Thank you for contacting HackerRank Support. Please visit support.hackerrank.com for detailed documentation.,assessments,Replied,test_issue,Company:HackerRank|Type:test_issue|Escalated:False
